Operatore,Data,StatoAttivazione,Comune,Provincia,Identificatore
3LETTRONICA INDUSTRIALE,20/07/2006,REALIZZATO,UDINE,UD,1707704135
3LETTRONICA INDUSTRIALE,20/07/2006,DA REALIZZARE,UDINE,UD,1708647918
3LETTRONICA INDUSTRIALE,06/10/2006,REALIZZATO,GORIZIA,GO,2068971620
3LETTRONICA INDUSTRIALE,06/10/2006,REALIZZATO,GORIZIA,GO,2463081578
3LETTRONICA INDUSTRIALE,06/10/2006,REALIZZATO,CODROIPO,UD,1243414310
3LETTRONICA INDUSTRIALE,11/10/2006,REALIZZATO,UDINE,UD,3280877529
3LETTRONICA INDUSTRIALE,12/10/2006,REALIZZATO,UDINE,UD,3712296814
3LETTRONICA INDUSTRIALE,13/10/2006,REALIZZATO,GORIZIA,GO,3712296815
3LETTRONICA INDUSTRIALE,13/10/2006,REALIZZATO,GORIZIA,GO,275702581
3LETTRONICA INDUSTRIALE,17/10/2006,REALIZZATO,UDINE,UD,3903796853
3LETTRONICA INDUSTRIALE,18/10/2006,REALIZZATO,LIGNANO SABBIADORO,UD,3126368552
3LETTRONICA INDUSTRIALE,18/10/2006,REALIZZATO,PORDENONE,PN,1870693261
3LETTRONICA INDUSTRIALE,18/10/2006,DA REALIZZARE,PORDENONE,PN,1874495228
3LETTRONICA INDUSTRIALE,25/10/2006,REALIZZATO,GRADO,GO,2273513568
3LETTRONICA INDUSTRIALE,22/11/2006,REALIZZATO,UDINE,UD,1864286886
H3G ITALIA,06/05/2001,REALIZZATO,GRADO,GO,1003779530
H3G ITALIA,28/06/2002,REALIZZATO,GRADO,GO,2528046848
H3G ITALIA,28/06/2002,REALIZZATO,PORDENONE,PN,3343681193
H3G ITALIA,12/12/2002,REALIZZATO,DIGNANO,UD,1977800134
H3G ITALIA,12/12/2002,REALIZZATO,MUGGIA,TS,2141354333
H3G ITALIA,12/12/2002,DA REALIZZARE,LATISANA,UD,2574687753
H3G ITALIA,03/02/2003,DA REALIZZARE,LATISANA,UD,2592919162
H3G ITALIA,03/02/2003,REALIZZATO,CASSACCO,UD,2622913070
H3G ITALIA,03/02/2003,REALIZZATO,CASSACCO,UD,2630659177
H3G ITALIA,18/02/2003,REALIZZATO,CASSACCO,UD,2662079367
H3G ITALIA,14/03/2003,REALIZZATO,UDINE,UD,2583719247
H3G ITALIA,27/03/2003,REALIZZATO,UDINE,UD,3056931620
H3G ITALIA,27/03/2003,REALIZZATO,UDINE,UD,2897291943
H3G ITALIA,27/03/2003,REALIZZATO,GRADO,GO,3380889439
H3G ITALIA,12/05/2003,REALIZZATO,PORDENONE,PN,3339513699
H3G ITALIA,12/05/2003,REALIZZATO,PORPETTO,UD,2622913067
H3G ITALIA,12/05/2003,REALIZZATO,PORPETTO,UD,1984453053
H3G ITALIA,15/07/2003,REALIZZATO,PORPETTO,PN,3576496189
H3G ITALIA,15/07/2003,REALIZZATO,TRIESTE,TS,3576495279
H3G ITALIA,15/07/2003,REALIZZATO,TRIESTE,TS,802102960
H3G ITALIA,06/10/2003,REALIZZATO,TRIESTE,TS,2203057658
H3G ITALIA,06/10/2003,REALIZZATO,DUINO AURISINA,TS,2637230815
H3G ITALIA,06/10/2003,REALIZZATO,DUINO AURISINA,TS,2637230798
H3G ITALIA,24/10/2003,REALIZZATO,DUINO AURISINA,TS,2390451876
H3G ITALIA,24/10/2003,REALIZZATO,TRIESTE,TS,2412410413
H3G ITALIA,24/10/2003,REALIZZATO,TRIESTE,TS,1311008776
H3G ITALIA,27/10/2003,REALIZZATO,TRIESTE,TS,2489524896
