Data,StatoAttivazione,Identificatore
20/07/2006,REALIZZATO,1707704135
20/07/2006,DA REALIZZARE,1708647918
06/10/2006,REALIZZATO,2068971620
06/10/2006,REALIZZATO,2463081578
06/10/2006,REALIZZATO,1243414310
11/10/2006,REALIZZATO,3280877529
12/10/2006,REALIZZATO,3712296814
13/10/2006,REALIZZATO,3712296815
13/10/2006,REALIZZATO,275702581
17/10/2006,REALIZZATO,3903796853
18/10/2006,REALIZZATO,3126368552
18/10/2006,REALIZZATO,1870693261
18/10/2006,DA REALIZZARE,1874495228
25/10/2006,REALIZZATO,2273513568
22/11/2006,REALIZZATO,1864286886
06/05/2001,REALIZZATO,1003779530
28/06/2002,REALIZZATO,2528046848
28/06/2002,REALIZZATO,3343681193
12/12/2002,REALIZZATO,1977800134
12/12/2002,REALIZZATO,2141354333
12/12/2002,DA REALIZZARE,2574687753
03/02/2003,DA REALIZZARE,2592919162
03/02/2003,REALIZZATO,2622913070
03/02/2003,REALIZZATO,2630659177
18/02/2003,REALIZZATO,2662079367
14/03/2003,REALIZZATO,2583719247
27/03/2003,REALIZZATO,3056931620
27/03/2003,REALIZZATO,2897291943
27/03/2003,REALIZZATO,3380889439
12/05/2003,REALIZZATO,3339513699
12/05/2003,REALIZZATO,2622913067
12/05/2003,REALIZZATO,1984453053
15/07/2003,REALIZZATO,3576496189
15/07/2003,REALIZZATO,3576495279
15/07/2003,REALIZZATO,802102960
06/10/2003,REALIZZATO,2203057658
06/10/2003,REALIZZATO,2637230815
06/10/2003,REALIZZATO,2637230798
24/10/2003,REALIZZATO,2390451876
24/10/2003,REALIZZATO,2412410413
24/10/2003,REALIZZATO,1311008776
27/10/2003,REALIZZATO,2489524896
27/10/2003,REALIZZATO,1765623646
27/10/2003,REALIZZATO,1891490610
04/11/2003,REALIZZATO,2635065576
04/11/2003,REALIZZATO,2671963383
04/11/2003,REALIZZATO,2673027765
19/11/2003,REALIZZATO,2426914345
19/11/2003,REALIZZATO,1795526257
19/11/2003,REALIZZATO,1795526393
21/11/2003,REALIZZATO,2155792431
21/11/2003,REALIZZATO,2155792432
11/12/2003,REALIZZATO,2155792433
11/12/2003,REALIZZATO,2155792434
11/12/2003,REALIZZATO,2155792435
24/02/2004,REALIZZATO,2155792436
24/02/2004,REALIZZATO,2155792437
24/02/2004,REALIZZATO,2155792438
01/03/2004,REALIZZATO,2914245654
01/03/2004,REALIZZATO,2914245656
04/03/2004,REALIZZATO,2914245657
04/03/2004,REALIZZATO,2914245658
16/04/2004,REALIZZATO,2914245659
16/04/2004,REALIZZATO,2914245663
08/06/2004,REALIZZATO,2914245664
29/07/2004,REALIZZATO,2914245665
29/07/2004,REALIZZATO,2914245669
29/07/2004,REALIZZATO,2914245680
06/08/2004,REALIZZATO,2914245697
06/08/2004,REALIZZATO,2914246415
13/09/2004,REALIZZATO,2914246422
13/09/2004,REALIZZATO,2914246429
14/09/2004,REALIZZATO,2914246433
14/09/2004,REALIZZATO,2914246438
14/09/2004,REALIZZATO,2914246439
27/09/2004,REALIZZATO,1296085969
27/09/2004,REALIZZATO,2551437360
15/10/2004,REALIZZATO,2368301814
15/10/2004,REALIZZATO,2452642957
15/10/2004,REALIZZATO,2452642958
25/10/2004,REALIZZATO,2115691475
25/10/2004,REALIZZATO,2115691478
25/10/2004,REALIZZATO,2155792152
05/11/2004,REALIZZATO,2155792153
06/12/2007,REALIZZATO,2155792154
05/11/2004,REALIZZATO,2155792155
05/11/2004,REALIZZATO,2155792156
05/11/2004,REALIZZATO,2155792157
29/11/2004,REALIZZATO,2155792158
29/11/2004,REALIZZATO,2155792159
29/11/2004,REALIZZATO,2155792160
15/12/2004,REALIZZATO,2155792161
15/12/2004,REALIZZATO,2155792162
15/12/2004,REALIZZATO,2155792163
07/01/2005,REALIZZATO,2155792164
07/01/2005,REALIZZATO,2155792165
07/01/2005,REALIZZATO,2155792166
17/01/2005,REALIZZATO,2155792170
17/01/2005,REALIZZATO,2155792176
17/01/2005,REALIZZATO,2155792287
22/02/2005,REALIZZATO,2155792364
22/02/2005,REALIZZATO,2155792387
24/08/2005,REALIZZATO,2463410229
24/08/2005,REALIZZATO,2155792136
24/08/2005,REALIZZATO,2155792137
21/11/2005,REALIZZATO,2155792138
21/11/2005,REALIZZATO,2155792139
21/11/2005,REALIZZATO,2155792140
23/11/2005,REALIZZATO,2155792141
23/11/2005,REALIZZATO,2155792142
23/11/2005,REALIZZATO,2155792143
12/12/2005,REALIZZATO,2155792144
12/12/2005,REALIZZATO,2155792145
12/12/2005,REALIZZATO,2155792146
13/02/2006,REALIZZATO,2155792147
13/02/2006,REALIZZATO,2155792148
13/02/2006,REALIZZATO,2155792149
20/02/2006,REALIZZATO,2155792150
20/02/2006,REALIZZATO,2155792151
20/02/2006,REALIZZATO,2952535865
31/03/2006,REALIZZATO,1296085793
31/03/2006,REALIZZATO,3625277522
31/03/2006,REALIZZATO,2463410204
11/04/2006,REALIZZATO,2463410205
11/04/2006,REALIZZATO,2463410223
13/09/2006,REALIZZATO,2490212415
13/09/2006,REALIZZATO,2485778248
14/09/2006,REALIZZATO,2426914360
14/09/2006,REALIZZATO,2426914364
14/09/2006,REALIZZATO,2452642936
14/09/2006,REALIZZATO,2452642956
14/09/2006,REALIZZATO,2461992896
14/09/2006,REALIZZATO,2461992905
06/12/2006,REALIZZATO,2461992906
06/12/2006,REALIZZATO,2461992910
06/12/2006,REALIZZATO,2462749386
06/11/2007,REALIZZATO,2462749387
06/11/2007,REALIZZATO,2462749421
06/11/2007,REALIZZATO,2462749447
21/08/2008,REALIZZATO,2456491955
21/08/2008,REALIZZATO,2464692564
21/08/2008,REALIZZATO,2471588314
16/10/2009,REALIZZATO,2471588320
16/10/2009,REALIZZATO,1141155323
16/10/2009,REALIZZATO,2503255429
05/10/2010,REALIZZATO,2510860911
05/10/2010,REALIZZATO,2452642955
05/10/2010,REALIZZATO,2010541613
11/11/2010,REALIZZATO,2564538040
11/11/2010,REALIZZATO,2484335825
11/11/2010,REALIZZATO,1141187102
24/11/2010,REALIZZATO,1141187110
24/11/2010,REALIZZATO,1141190207
24/11/2010,REALIZZATO,1141190209
01/12/2010,REALIZZATO,1141190210
01/12/2010,REALIZZATO,1141190225
01/12/2010,REALIZZATO,1141190227
19/01/2011,REALIZZATO,1141190230
19/01/2011,REALIZZATO,1141190231
19/01/2011,REALIZZATO,1192444133
12/02/2011,REALIZZATO,1192444135
14/03/2011,REALIZZATO,890210171
14/03/2011,REALIZZATO,890210266
14/03/2011,REALIZZATO,1141186993
14/03/2011,REALIZZATO,1141190222
14/03/2011,REALIZZATO,1141190223
14/03/2011,REALIZZATO,1141190228
24/03/2011,REALIZZATO,2189978003
24/03/2011,REALIZZATO,3271235704
24/03/2011,REALIZZATO,2433713789
24/03/2011,REALIZZATO,2433713790
24/03/2011,REALIZZATO,2209019262
24/03/2011,REALIZZATO,1736971038
28/03/2011,REALIZZATO,3346310483
28/03/2011,REALIZZATO,2213713962
28/03/2011,REALIZZATO,1152632822
28/03/2011,REALIZZATO,1904884570
28/03/2011,REALIZZATO,1325493085
28/03/2011,REALIZZATO,3200456338
12/04/2011,REALIZZATO,3198395642
12/04/2011,REALIZZATO,2359422022
12/04/2011,REALIZZATO,2473297394
12/04/2011,REALIZZATO,3753190984
15/04/2011,REALIZZATO,3503391535
15/04/2011,REALIZZATO,1785840514
15/04/2011,REALIZZATO,1297538123
15/04/2011,REALIZZATO,1434808658
15/04/2011,REALIZZATO,1438873498
