"Comune";"Provincia";"Regione";"Nome";"Anno inserimento";"Data e ora inserimento";"Identificatore in OpenStreetMap";"Longitudine";"Latitudine";
"ALTRO";"ALTRO";"ALTRO";"";"2012";"2012-04-08T21:49:07Z";"1707704135";"10.7141132";"46.8643543";
"ALTRO";"ALTRO";"ALTRO";"";"2012";"2012-04-09T14:59:57Z";"1708647918";"10.714561";"46.8643857";
"ALTRO";"ALTRO";"ALTRO";"";"2012";"2012-12-15T21:56:17Z";"2068971620";"8.98849079999999";"45.9595192";
"ALTRO";"ALTRO";"ALTRO";"";"2013";"2013-09-25T07:26:05Z";"2463081578";"13.9002281";"45.6442592";
"ALTRO";"ALTRO";"ALTRO";"";"2014";"2014-05-31T22:34:28Z";"1243414310";"7.814507";"45.9567648";
"ALTRO";"ALTRO";"ALTRO";"";"2015";"2015-01-10T18:49:43Z";"3280877529";"13.6368934";"45.9611348999999";
"ALTRO";"ALTRO";"ALTRO";"";"2015";"2015-08-24T16:53:48Z";"3712296814";"7.0363604";"44.2192798999999";
"ALTRO";"ALTRO";"ALTRO";"";"2015";"2015-08-24T16:53:48Z";"3712296815";"7.0362336";"44.2193948";
"ALTRO";"ALTRO";"ALTRO";"";"2015";"2015-09-01T14:59:07Z";"275702581";"6.8880329";"45.8786362";
"ALTRO";"ALTRO";"ALTRO";"";"2015";"2015-12-22T00:16:29Z";"3903796853";"9.0404094";"45.9216170999999";
"ALTRO";"ALTRO";"ALTRO";"Monte Morello";"2014";"2014-10-12T17:48:48Z";"3126368552";"8.97081509999999";"45.8370571999999";
"Andrate";"TORINO";"Piemonte";"";"2012";"2012-08-17T22:49:45Z";"1870693261";"7.874074";"45.5278919";
"Andrate";"TORINO";"Piemonte";"";"2012";"2012-11-24T16:49:12Z";"1874495228";"7.8730417";"45.5291043";
"Azeglio";"TORINO";"Piemonte";"";"2013";"2013-04-20T10:09:22Z";"2273513568";"8.0177566";"45.4017448";
"Buttigliera Alta";"TORINO";"Piemonte";"Torre Bicocca";"2012";"2012-08-13T14:03:20Z";"1864286886";"7.4338323";"45.0777914";
"Candia Canavese";"TORINO";"Piemonte";"";"2010";"2010-11-25T13:19:02Z";"1003779530";"7.8820778";"45.3324191999999";
"Corio";"TORINO";"Piemonte";"";"2013";"2013-11-11T15:12:08Z";"2528046848";"7.5362353";"45.3077169999999";
"Giaglione";"TORINO";"Piemonte";"";"2015";"2015-06-19T10:36:46Z";"3343681193";"6.9700757";"45.1544032999999";
"Ivrea";"TORINO";"Piemonte";"";"2012";"2012-10-22T12:17:49Z";"1977800134";"7.8785631";"45.4734446";
"Ivrea";"TORINO";"Piemonte";"";"2013";"2013-02-04T13:40:44Z";"2141354333";"7.8730338";"45.4369014999999";
"Ivrea";"TORINO";"Piemonte";"";"2013";"2013-12-10T18:27:14Z";"2574687753";"7.9027505";"45.4714456999999";
"Ivrea";"TORINO";"Piemonte";"";"2013";"2013-12-24T16:04:16Z";"2592919162";"7.9129205";"45.4543826999999";
"Ivrea";"TORINO";"Piemonte";"";"2014";"2014-01-15T00:54:43Z";"2622913070";"7.888233";"45.4242338999999";
"Ivrea";"TORINO";"Piemonte";"";"2014";"2014-01-21T01:44:53Z";"2630659177";"7.876239";"45.4608655999999";
"Ivrea";"TORINO";"Piemonte";"";"2014";"2014-02-09T00:22:00Z";"2662079367";"7.8866345";"45.46611";
"Maglione";"TORINO";"Piemonte";"";"2013";"2013-12-17T14:03:03Z";"2583719247";"8.0111258";"45.3460898";
"Meana di Susa";"TORINO";"Piemonte";"";"2014";"2014-09-03T07:33:17Z";"3056931620";"7.0538892";"45.1001009";
"Mercenasco";"TORINO";"Piemonte";"";"2014";"2014-06-03T15:07:14Z";"2897291943";"7.8761405";"45.3580626999999";
"Mompantero";"TORINO";"Piemonte";"";"2015";"2015-03-03T10:28:36Z";"3380889439";"7.0743173";"45.1448873";
"Ozegna";"TORINO";"Piemonte";"";"2015";"2015-02-14T04:17:39Z";"3339513699";"7.7418629";"45.3466048";
"Pavone Canavese";"TORINO";"Piemonte";"";"2014";"2014-01-15T00:54:43Z";"2622913067";"7.8836068";"45.4238712";
"Perosa Argentina";"TORINO";"Piemonte";"Ripetitore TV e Telefono";"2012";"2012-10-26T15:40:50Z";"1984453053";"7.1952921";"44.9625573";
"Perrero";"TORINO";"Piemonte";"Ripetitore TV e telefonia";"2015";"2015-06-06T13:29:31Z";"3576496189";"7.1459452";"44.9344911";
"Perrero";"TORINO";"Piemonte";"Ripetitore TV e telefonia";"2015";"2015-06-06T13:41:24Z";"3576495279";"7.1171403";"44.9379740999999";
"Piossasco";"TORINO";"Piemonte";"";"2010";"2010-10-04T10:45:04Z";"802102960";"7.4204762";"45.0111349";
"Piverone";"TORINO";"Piemonte";"";"2014";"2014-10-13T09:54:52Z";"2203057658";"8.0062653";"45.4481420999999";
