OPERATORE,DATA,STATO ATTIVAZIONE,COMUNE,PROVINCIA,ETRS89EST,ETRS89NORD
3LETTRONICA INDUSTRIALE,20/07/2006,REALIZZATO,UDINE,UD,364207.4,5101618.7
3LETTRONICA INDUSTRIALE,20/07/2006,DA REALIZZARE,UDINE,UD,362797.3,5103673.2
3LETTRONICA INDUSTRIALE,06/10/2006,REALIZZATO,GORIZIA,GO,390866.4,5088564.2
3LETTRONICA INDUSTRIALE,06/10/2006,REALIZZATO,GORIZIA,GO,392569.3,5086238.7
3LETTRONICA INDUSTRIALE,06/10/2006,REALIZZATO,CODROIPO,UD,344287.1,5092783.1
3LETTRONICA INDUSTRIALE,11/10/2006,REALIZZATO,UDINE,UD,361310.3,5100734.3
3LETTRONICA INDUSTRIALE,12/10/2006,REALIZZATO,UDINE,UD,366468.2,5104094.2
3LETTRONICA INDUSTRIALE,13/10/2006,REALIZZATO,GORIZIA,GO,392530.1,5087864.5
3LETTRONICA INDUSTRIALE,13/10/2006,REALIZZATO,GORIZIA,GO,392731.5,5089420.4
3LETTRONICA INDUSTRIALE,17/10/2006,REALIZZATO,UDINE,UD,363436.3,5105100.2
3LETTRONICA INDUSTRIALE,18/10/2006,REALIZZATO,LIGNANO SABBIADORO,UD,352915.5,5059743
3LETTRONICA INDUSTRIALE,18/10/2006,REALIZZATO,PORDENONE,PN,319949.4,5093644.4
3LETTRONICA INDUSTRIALE,18/10/2006,DA REALIZZARE,PORDENONE,PN,316364,5093407.1
3LETTRONICA INDUSTRIALE,25/10/2006,REALIZZATO,GRADO,GO,374404.5,5059704.6
3LETTRONICA INDUSTRIALE,22/11/2006,REALIZZATO,UDINE,UD,363030.7,5101632.4
H3G ITALIA,,REALIZZATO,GRADO,GO,375503,5059663.1
H3G ITALIA,,REALIZZATO,GRADO,GO,375503,5059663.1
H3G ITALIA,,REALIZZATO,PORDENONE,PN,318782.9,5092045.2
H3G ITALIA,,REALIZZATO,DIGNANO,UD,341208.3,5105777.6
H3G ITALIA,06/05/2001,REALIZZATO,MUGGIA,TS,406613.3,5049239.9
H3G ITALIA,28/06/2002,DA REALIZZARE,LATISANA,UD,348112.6,5064570.9
H3G ITALIA,28/06/2002,DA REALIZZARE,LATISANA,UD,348112.6,5064570.9
H3G ITALIA,12/12/2002,REALIZZATO,CASSACCO,UD,358280.3,5113613.3
H3G ITALIA,12/12/2002,REALIZZATO,CASSACCO,UD,358280.3,5113613.3
H3G ITALIA,12/12/2002,REALIZZATO,CASSACCO,UD,358280.3,5113613.3
H3G ITALIA,03/02/2003,REALIZZATO,UDINE,UD,363310.3,5102757.3
H3G ITALIA,03/02/2003,REALIZZATO,UDINE,UD,363310.3,5102757.3
H3G ITALIA,03/02/2003,REALIZZATO,UDINE,UD,363310.3,5102757.3
H3G ITALIA,18/02/2003,REALIZZATO,GRADO,GO,375503,5059663.1
H3G ITALIA,14/03/2003,REALIZZATO,PORDENONE,PN,318782.9,5092045.2
H3G ITALIA,27/03/2003,REALIZZATO,PORPETTO,UD,360728,5080474.8
H3G ITALIA,27/03/2003,REALIZZATO,PORPETTO,UD,360728,5080474.8
H3G ITALIA,27/03/2003,REALIZZATO,PORPETTO,UD,360728,5080474.8
H3G ITALIA,12/05/2003,REALIZZATO,TRIESTE,TS,402990.5,5059085.3
H3G ITALIA,12/05/2003,REALIZZATO,TRIESTE,TS,402990.5,5059085.3
H3G ITALIA,12/05/2003,REALIZZATO,TRIESTE,TS,402990.5,5059085.3
H3G ITALIA,15/07/2003,REALIZZATO,DUINO AURISINA,TS,393978.3,5069819.2
H3G ITALIA,15/07/2003,REALIZZATO,DUINO AURISINA,TS,393978.3,5069819.2
H3G ITALIA,15/07/2003,REALIZZATO,DUINO AURISINA,TS,393978.3,5069819.2
H3G ITALIA,06/10/2003,REALIZZATO,TRIESTE,TS,405632,5056423.1
H3G ITALIA,06/10/2003,REALIZZATO,TRIESTE,TS,405632,5056423.1
H3G ITALIA,06/10/2003,REALIZZATO,TRIESTE,TS,405632,5056423.1
H3G ITALIA,24/10/2003,REALIZZATO,MONFALCONE,GO,385681.5,5072947.3
H3G ITALIA,24/10/2003,REALIZZATO,MONFALCONE,GO,385681.5,5072947.3
H3G ITALIA,24/10/2003,REALIZZATO,MONFALCONE,GO,385681.5,5072947.3
H3G ITALIA,27/10/2003,REALIZZATO,MONFALCONE,GO,388475.7,5072600.2
H3G ITALIA,27/10/2003,REALIZZATO,MONFALCONE,GO,388475.7,5072600.2
H3G ITALIA,27/10/2003,REALIZZATO,MONFALCONE,GO,388475.7,5072600.2
H3G ITALIA,04/11/2003,REALIZZATO,TRIESTE,TS,407042.1,5060420
H3G ITALIA,04/11/2003,REALIZZATO,TRIESTE,TS,407042.1,5060420
H3G ITALIA,04/11/2003,REALIZZATO,TRIESTE,TS,407042.1,5060420
H3G ITALIA,19/11/2003,REALIZZATO,TRASAGHIS,UD,350735.4,5130803.5
H3G ITALIA,19/11/2003,REALIZZATO,TRASAGHIS,UD,350735.4,5130803.5
H3G ITALIA,19/11/2003,REALIZZATO,TRASAGHIS,UD,350735.4,5130803.5
H3G ITALIA,21/11/2003,REALIZZATO,TRASAGHIS,UD,350984,5126708.8
H3G ITALIA,21/11/2003,REALIZZATO,TRASAGHIS,UD,350984,5126708.8
H3G ITALIA,11/12/2003,REALIZZATO,SEQUALS,PN,332480.4,5114597.6
H3G ITALIA,11/12/2003,REALIZZATO,SEQUALS,PN,332480.4,5114597.6
H3G ITALIA,11/12/2003,REALIZZATO,SEQUALS,PN,332480.4,5114597.6
H3G ITALIA,24/02/2004,REALIZZATO,VENZONE,UD,356361.2,5138359.1
H3G ITALIA,24/02/2004,REALIZZATO,VENZONE,UD,356361.2,5138359.1
H3G ITALIA,24/02/2004,REALIZZATO,VENZONE,UD,356361.2,5138359.1
H3G ITALIA,01/03/2004,REALIZZATO,MONFALCONE,GO,388034.2,5074328.1
H3G ITALIA,01/03/2004,REALIZZATO,MONFALCONE,GO,388034.2,5074328.1
H3G ITALIA,04/03/2004,REALIZZATO,POZZUOLO DEL FRIULI,UD,362831.7,5097639.5
H3G ITALIA,04/03/2004,REALIZZATO,POZZUOLO DEL FRIULI,UD,362831.7,5097639.5
H3G ITALIA,16/04/2004,REALIZZATO,DUINO AURISINA,TS,391020.6,5070593.5
H3G ITALIA,16/04/2004,REALIZZATO,DUINO AURISINA,TS,391020.6,5070593.5
H3G ITALIA,08/06/2004,REALIZZATO,DUINO AURISINA,TS,396174.3,5066835.1
H3G ITALIA,29/07/2004,REALIZZATO,CORDENONS,PN,322563.8,5094770
H3G ITALIA,29/07/2004,REALIZZATO,CORDENONS,PN,322563.8,5094770
