Data_Realizzazione;Stato;ID;ID_Gestore
2011-05-10;REALIZZATO;1003779530;4
2011-05-31;REALIZZATO;1003829660;5
2011-05-31;REALIZZATO;1012736946;6
2011-05-31;REALIZZATO;1012737043;7
2011-05-31;REALIZZATO;1012737096;8
2011-05-31;REALIZZATO;1012737253;9
2011-05-31;REALIZZATO;1012737369;10
2011-06-01;REALIZZATO;1027852591;1
2011-06-01;REALIZZATO;1028027984;2
2011-06-01;REALIZZATO;1028028134;3
2011-06-01;REALIZZATO;1035910080;4
2011-06-01;REALIZZATO;1066388684;5
2011-06-01;REALIZZATO;1069316388;6
2011-06-06;REALIZZATO;1081064296;7
2011-06-06;REALIZZATO;1082956068;8
2011-06-06;REALIZZATO;1088229252;9
2011-06-06;REALIZZATO;1104322847;10
2011-06-06;REALIZZATO;1115718309;1
2011-06-06;REALIZZATO;1115719102;2
2011-06-08;REALIZZATO;1118994830;3
2011-06-08;REALIZZATO;1120550590;4
2011-06-08;REALIZZATO;1127231225;5
2011-06-08;REALIZZATO;1127768035;6
2011-06-08;DA REALIZZARE;1132753331;7
2011-06-08;DA REALIZZARE;1133966461;8
2011-06-20;DA REALIZZARE;1137476132;9
2011-06-20;DA REALIZZARE;1137743770;10
2011-06-20;DA REALIZZARE;1141155323;1
2011-06-21;DA REALIZZARE;1141186993;2
2011-06-21;REALIZZATO;1141187102;3
2011-06-21;REALIZZATO;1141187110;4
2011-06-21;REALIZZATO;1141190207;5
2011-06-21;REALIZZATO;1141190209;6
2011-06-21;REALIZZATO;1141190210;7
2011-06-23;REALIZZATO;1141190222;8
2011-06-23;REALIZZATO;1141190223;9
2011-06-23;REALIZZATO;1141190225;10
2011-06-23;REALIZZATO;1141190227;1
2011-06-23;REALIZZATO;1141190228;2
2011-06-23;REALIZZATO;1141190230;3
2011-06-27;REALIZZATO;1141190231;4
2011-06-27;REALIZZATO;1144130424;5
2011-06-27;REALIZZATO;1145450835;6
2011-06-27;REALIZZATO;1145588508;7
2011-06-27;REALIZZATO;1149312967;8
2011-06-27;REALIZZATO;1149313854;9
2011-06-28;REALIZZATO;1152632822;10
2011-06-28;REALIZZATO;1153797444;1
2011-06-28;REALIZZATO;1154169175;2
2011-06-28;REALIZZATO;1164714016;3
2011-06-28;REALIZZATO;1171034594;4
2011-06-28;REALIZZATO;1173064525;5
2011-06-28;REALIZZATO;1174511203;6
2011-06-28;REALIZZATO;1175566488;7
2011-06-28;REALIZZATO;1177545002;8
2011-06-28;REALIZZATO;1177545012;9
2011-06-28;REALIZZATO;1177704832;10
2011-06-28;REALIZZATO;1177710010;1
2011-06-29;REALIZZATO;1177710024;2
2011-06-29;REALIZZATO;1177710028;3
2011-06-29;REALIZZATO;1177710033;4
2011-06-29;REALIZZATO;1177710038;5
2011-06-29;REALIZZATO;1177715740;6
2011-06-29;REALIZZATO;1177715742;7
2011-06-29;REALIZZATO;1177715764;8
2011-07-06;REALIZZATO;1177715773;9
2011-07-06;REALIZZATO;1177715779;10
2011-07-06;REALIZZATO;1177715785;1
2011-07-06;REALIZZATO;1177715789;2
2011-07-06;REALIZZATO;1177715811;3
2011-07-06;REALIZZATO;1177715816;4
2011-07-06;REALIZZATO;1177715820;5
2011-07-06;REALIZZATO;1177715824;6
2011-07-06;REALIZZATO;1177715846;7
2011-07-06;REALIZZATO;1181010647;8
2011-07-06;REALIZZATO;1187016499;9
2011-07-06;REALIZZATO;1187016500;10
2011-07-06;REALIZZATO;1187016501;1
2011-07-06;REALIZZATO;1187016502;2
2011-07-06;REALIZZATO;1187016503;3
2011-07-06;REALIZZATO;1187016504;4
2011-07-06;REALIZZATO;1187016505;5
2011-07-06;REALIZZATO;1187016506;6
2011-07-11;REALIZZATO;1187016507;7
2011-07-11;REALIZZATO;1187016508;8
2011-08-12;REALIZZATO;1187020951;9
2011-08-12;REALIZZATO;1187020971;10
2011-08-12;REALIZZATO;1187020977;1
2011-08-17;REALIZZATO;1187020990;2
2011-08-17;REALIZZATO;1187021020;3
2011-08-17;REALIZZATO;1187021027;4
2011-08-17;REALIZZATO;1187021054;5
2011-08-17;REALIZZATO;1187021056;6
2011-08-17;REALIZZATO;1187021065;7
2011-08-22;REALIZZATO;1187021099;8
2011-08-22;REALIZZATO;1187021122;9
2011-08-22;REALIZZATO;1187026471;10
2011-08-22;REALIZZATO;1187026492;1
2011-08-22;REALIZZATO;1187026528;2
2011-08-22;REALIZZATO;1192444133;3
2011-08-22;REALIZZATO;1192444135;4
2011-08-22;REALIZZATO;1194647970;5
2011-08-22;REALIZZATO;1207049385;6
2011-08-22;REALIZZATO;1207257660;7
2011-08-22;REALIZZATO;1207257702;8
2011-08-22;REALIZZATO;1210312847;9
2011-09-12;REALIZZATO;1212454988;10
2011-09-12;REALIZZATO;1212713207;1
2011-09-12;REALIZZATO;1213750379;2
2011-09-13;REALIZZATO;1213814519;3
2011-09-13;REALIZZATO;1213814544;4
2011-09-13;REALIZZATO;1213814633;5
2011-09-13;REALIZZATO;1213814656;6
2011-09-13;REALIZZATO;1213832520;7
2011-09-13;REALIZZATO;1213832538;8
2011-09-15;REALIZZATO;1214083488;9
2011-09-15;REALIZZATO;1214777622;10
2011-09-15;REALIZZATO;1215889882;1
2011-09-15;REALIZZATO;1215889889;2
