PROGR,DATA_AGGIORNAMENTO,ID_BENEFICIARIO,BENEFICIARIO,TIPOLOGIA_BENEFICIARIO,CODICE_FISCALE,PARTITA_IVA
212976,26/06/2017 04:27:00 PM,,COMUNE DI MONTICHIARI,AMMINISTRAZIONE LOCALE,00645400177,
145676,27/10/2016 03:30:00 PM,10159,PALADINA,AMMINISTRAZIONE LOCALE,80028060160,01001440161
49346,30/10/2014 03:46:00 PM,10279,BRESCIA,AMMINISTRAZIONE LOCALE,00761890177,
239157,13/12/2017 03:36:00 PM,134475,"UCL dei Comuni di Ceto, Cimbergo e Paspardo",AMMINISTRAZIONE LOCALE,90007840177,
13910,23/06/2015 10:13:00 AM,,Comune di Monza,AMMINISTRAZIONE LOCALE,02030880153,00728830969
150181,21/11/2016 05:33:00 PM,,VIMERCATE,AMMINISTRAZIONE LOCALE,02026560157,
51251,17/11/2014 05:47:00 PM,11534,TRAVEDONA-MONATE,AMMINISTRAZIONE LOCALE,00308240126,
39612,13/06/2014 10:28:00 AM,11006,Città di Legnano,AMMINISTRAZIONE LOCALE,00807960158,00807960158
213057,26/06/2017 04:27:00 PM,,COMUNE DI ROBECCO SUL NAVIGLIO,AMMINISTRAZIONE LOCALE,82002470159,
32988,14/01/2014 04:30:00 PM,294705,PROVINCIA DI VARESE,AMMINISTRAZIONE LOCALE,80000710121,00397700121
129165,05/02/2016 05:10:00 PM,,COMUNE DI COMO,AMMINISTRAZIONE LOCALE,80005370137,00417480134
240265,11/01/2018 11:28:00 AM,,COMUNE DI ROBECCHETTO CON INDUNO,AMMINISTRAZIONE LOCALE,86002510153,01620760155
90024,13/08/2015 01:27:00 PM,10317,Desenzano Del Garda,AMMINISTRAZIONE LOCALE,00575230172,
135283,10/08/2017 12:35:00 PM,11014,COMUNE DI LODI,AMMINISTRAZIONE LOCALE,84507570152,
102341,10/12/2015 02:36:00 PM,11604,PROVINCIA DI CREMONA,AMMINISTRAZIONE LOCALE,80002130195,00291650190
23999,07/11/2013 04:42:00 PM,,COMUNE DI SONDRIO,AMMINISTRAZIONE LOCALE,00095450144,
130134,26/02/2016 11:41:00 AM,10351,COMUNE DI MALONNO,AMMINISTRAZIONE LOCALE,00716670179,00716670179
49382,30/10/2014 03:46:00 PM,10960,CERRO MAGGIORE,AMMINISTRAZIONE LOCALE,01230310151,
134329,18/10/2016 12:46:00 PM,10739,COMUNE DI CREMONA,AMMINISTRAZIONE LOCALE,00297960197,
48581,14/10/2014 03:27:00 PM,,COMUNE DI EDOLO,AMMINISTRAZIONE LOCALE,00760070177,
86207,29/07/2015 03:34:00 PM,,TIRANO,AMMINISTRAZIONE LOCALE,00114980147,
161434,15/02/2017 03:36:00 PM,,Comune di MONZA,AMMINISTRAZIONE LOCALE,02030880153,
135247,15/01/2018 12:06:00 PM,11609,PROVINCIA DI VARESE,AMMINISTRAZIONE LOCALE,80000710121,00397700121
8003,10/06/2013 06:08:00 PM,10307,COMUNE DI COLLEBEATO,AMMINISTRAZIONE LOCALE,00853240174,
50476,17/11/2014 11:01:00 AM,,PROVINCIA DI SONDRIO,AMMINISTRAZIONE LOCALE,80002950147,00603930140
96019,04/11/2015 06:10:00 PM,347393,UNIONE DEI COMUNI LOMBARDA DELLA VALLETTA,AMMINISTRAZIONE LOCALE,94022220134,02933030138
77837,31/03/2015 10:03:00 AM,,COMUNE DI PARABIAGO,AMMINISTRAZIONE LOCALE,01059460152,
102628,14/12/2015 05:31:00 PM,10884,COMUNE DI VIADANA (MN),AMMINISTRAZIONE LOCALE,83000670204,00201030202
135345,05/08/2016 10:22:00 AM,,COMUNE DI SABBIONETA,AMMINISTRAZIONE LOCALE,83000390209,
33632,05/04/2016 03:03:00 PM,11478,COMUNE DI GAZZADA SCHIANNO VA,AMMINISTRAZIONE LOCALE,00232220129,
217277,09/08/2017 12:35:00 PM,11030,COMUNE DI MELZO,AMMINISTRAZIONE LOCALE,00795710151,
94848,21/10/2015 02:56:00 PM,,COMUNE DI AZZANO SAN PAOLO,AMMINISTRAZIONE LOCALE,00681530168,
132836,07/06/2016 11:03:00 AM,13609,C.M. LARIO INTELVESE,AMMINISTRAZIONE LOCALE,95021750138,
236404,29/11/2017 02:02:00 PM,831055,UFFICIO D'AMBITO TERRITORIALE OTTIMALE DELLA PROVINCIA DI VARESE,AMMINISTRAZIONE LOCALE,95073580128,95073580128
222179,29/09/2017 02:45:00 PM,10802,SOSPIRO,AMMINISTRAZIONE LOCALE,00000000000,
